               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11557,            0.014815,                   0,            0.006122,             0.82105,            0.018923,            0.004982,             0.11494,             0.01036,                   0,              0.0955,              0.0005,              0.0005
                   1,             0.11336,            0.017809,                   0,            0.036235,            0.073684,            0.030456,            0.007835,             0.09364,             0.01163,                   0,            0.090089,           0.0010891,           0.0010891
                   2,            0.090451,            0.022704,                   0,            0.061097,             0.14737,             0.04053,           0.0099175,            0.080666,             0.01289,                   0,            0.084666,           0.0016663,           0.0016663
                   3,            0.084666,            0.023235,                   0,             0.14853,             0.26625,             0.10383,            0.027566,            0.069441,            0.013178,                   0,            0.079232,           0.0022317,           0.0022317
                   4,            0.077893,            0.023821,                   0,              0.1561,             0.42632,             0.15091,            0.044978,            0.065501,            0.012614,                   0,            0.073785,           0.0027852,           0.0027852
                   5,            0.061364,            0.025691,                   0,             0.53928,             0.54212,             0.50192,             0.20636,            0.065892,            0.014607,                   0,            0.068327,           0.0033267,           0.0033267
                   6,            0.062962,             0.02431,                   0,             0.28216,                 0.4,             0.25492,            0.093925,             0.06662,            0.019574,                   0,            0.062856,           0.0038565,           0.0038565
                   7,            0.059704,            0.023338,                   0,             0.69103,             0.45263,             0.61212,             0.24337,            0.067642,            0.016466,                   0,            0.057374,           0.0043743,           0.0043743
                   8,            0.055701,            0.020552,                   0,             0.84905,             0.68087,             0.79622,             0.38169,             0.05529,            0.013931,                   0,             0.05188,           0.0048802,           0.0048802
                   9,            0.051653,            0.019276,                   0,             0.32226,             0.61579,             0.30616,             0.10133,            0.061222,             0.01193,                   0,            0.046374,           0.0053743,           0.0053743
                  10,            0.052484,            0.020078,                   0,             0.54852,             0.72105,             0.63148,             0.24879,            0.062662,           0.0098979,                   0,            0.040857,           0.0058565,           0.0058565
                  11,            0.055445,            0.020465,                   0,             0.70495,             0.76842,             0.83519,             0.38419,            0.049638,            0.008787,                   0,            0.035327,           0.0063268,           0.0063268
                  12,              0.0498,            0.016702,                   0,             0.54242,             0.61144,             0.61394,             0.27243,            0.057748,           0.0077024,                   0,            0.029785,           0.0067852,           0.0067852
                  13,            0.054503,            0.019335,                   0,             0.56593,             0.82105,             0.77062,             0.40202,            0.047248,            0.007437,                   0,            0.024232,           0.0072318,           0.0072318
                  14,            0.054256,            0.017996,                   0,             0.65928,             0.66842,             0.76795,             0.44619,            0.044962,           0.0073654,                   0,            0.018666,           0.0076665,           0.0076665
                  15,            0.047061,            0.016687,                   0,             0.49294,             0.85263,             0.71821,             0.35199,            0.046291,           0.0075131,                   0,            0.013089,           0.0080892,           0.0080892
                  16,            0.050683,            0.018808,                   0,             0.78183,             0.93158,             0.86404,             0.42703,            0.049876,           0.0066218,                   0,            0.008416,            0.008416,            0.008416
                  17,            0.046992,            0.017646,                   0,             0.66888,             0.76316,             0.77398,             0.36448,            0.046683,           0.0071607,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.046603,            0.016649,                   0,             0.71158,             0.87368,             0.85682,             0.33629,            0.044458,             0.00688,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.046527,            0.016811,                   0,             0.74389,             0.86316,             0.89905,             0.54339,            0.043486,           0.0065988,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.044283,            0.018035,                   0,             0.80601,             0.91844,             0.90367,             0.46292,            0.044531,           0.0071608,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.041436,              0.0158,                   0,             0.90037,             0.95126,             0.97263,             0.59058,            0.033412,            0.007473,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.037716,            0.014138,                   0,             0.73025,             0.90526,             0.86369,             0.40802,            0.038432,           0.0074074,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.043728,            0.014664,                   0,             0.81753,             0.97368,             0.88847,             0.51194,             0.03343,           0.0064251,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.039078,            0.016622,                   0,             0.96901,             0.97368,             0.98281,              0.5445,            0.032747,           0.0061996,                   0,            0.007723,            0.007723,            0.007723
                  25,             0.03481,            0.017268,                   0,             0.87561,             0.96323,             0.97898,             0.58905,            0.032056,           0.0060054,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.034181,            0.013636,                   0,              0.9661,             0.97368,               0.992,             0.66882,            0.025964,           0.0053991,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.035459,            0.015815,                   0,             0.97484,             0.97895,             0.99212,             0.61506,            0.028989,           0.0055216,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.033792,            0.013461,                   0,             0.97913,              0.9875,             0.98995,             0.58447,             0.03189,           0.0054861,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.034919,            0.014214,                   0,             0.96881,             0.98083,             0.98696,             0.65004,            0.027881,           0.0052911,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.032049,            0.013879,                   0,             0.97889,             0.97616,             0.98932,             0.62748,             0.02896,           0.0051655,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.029696,            0.012795,                   0,             0.98877,             0.98947,             0.99275,             0.65819,             0.02598,           0.0051363,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.030901,            0.013436,                   0,             0.97328,             0.96316,             0.99034,              0.6739,            0.026028,           0.0052759,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.033956,            0.012512,                   0,             0.96299,             0.95855,             0.98959,              0.6398,            0.027167,           0.0054372,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.027355,            0.012787,                   0,             0.98623,             0.98947,             0.99383,              0.6871,            0.026677,           0.0050129,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.031757,            0.012785,                   0,              0.9898,             0.99474,             0.99463,             0.69734,             0.02454,           0.0046636,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.029486,            0.013042,                   0,             0.99319,             0.99474,             0.99495,             0.73259,            0.021682,            0.004487,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.028317,            0.013907,                   0,             0.99442,             0.99474,             0.99495,              0.7151,            0.025857,           0.0045435,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.029798,            0.012013,                   0,                   1,             0.99454,               0.995,             0.73432,            0.023747,           0.0045065,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.028223,            0.014897,                   0,             0.99625,             0.98947,             0.99484,             0.77587,            0.020416,           0.0043226,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.027801,            0.011576,                   0,                   1,             0.99742,               0.995,             0.70028,            0.024506,            0.004445,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.026784,            0.011463,                   0,                   1,              0.9991,               0.995,             0.76972,            0.021088,           0.0043475,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.028219,            0.012079,                   0,                   1,             0.99944,               0.995,             0.74942,            0.023913,           0.0043716,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.025086,             0.01042,                   0,                   1,             0.99908,               0.995,             0.75828,            0.020533,           0.0044036,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.024695,            0.013101,                   0,             0.99356,                   1,               0.995,             0.76179,            0.020719,           0.0044175,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.027761,            0.010357,                   0,             0.99966,                   1,               0.995,             0.77596,            0.019717,           0.0043654,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.024267,            0.011062,                   0,                   1,             0.99942,               0.995,             0.75741,            0.019885,           0.0041771,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.025773,            0.011715,                   0,                   1,             0.99949,               0.995,             0.74682,            0.021544,            0.004186,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.024889,             0.01235,                   0,                   1,             0.99944,               0.995,             0.78027,             0.01862,           0.0041139,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.024561,            0.011311,                   0,             0.99975,                   1,               0.995,             0.78037,            0.018941,           0.0040213,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.023975,            0.010949,                   0,             0.99925,                   1,               0.995,             0.78694,            0.019063,           0.0039703,                   0,            0.005149,            0.005149,            0.005149
                  51,              0.0247,            0.012514,                   0,             0.99841,                   1,               0.995,             0.77958,            0.020579,            0.003981,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.025452,             0.01182,                   0,             0.99902,                   1,               0.995,             0.76792,            0.019406,           0.0040837,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.023008,            0.011075,                   0,              0.9989,                   1,               0.995,             0.74652,            0.021463,           0.0042225,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.023191,            0.010384,                   0,             0.99958,                   1,               0.995,             0.79461,            0.018748,           0.0040159,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.023718,            0.010734,                   0,             0.99944,                   1,               0.995,             0.80271,            0.019942,           0.0039869,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.022795,            0.010216,                   0,             0.98824,                   1,             0.99495,             0.77958,            0.019789,           0.0041627,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.021834,           0.0098831,                   0,             0.99536,             0.95789,             0.98822,             0.74855,             0.02052,           0.0045358,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.025486,            0.013666,                   0,             0.99928,                   1,               0.995,             0.80148,            0.018998,           0.0040173,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.024748,            0.011543,                   0,             0.99945,                   1,               0.995,             0.80204,            0.018007,           0.0038526,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.021658,             0.01089,                   0,             0.99951,                   1,               0.995,             0.81341,            0.017856,            0.004044,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.021743,            0.010847,                   0,              0.9996,                   1,               0.995,             0.80265,            0.018183,           0.0039823,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.018527,           0.0096109,                   0,             0.99954,                   1,               0.995,             0.82297,            0.016574,           0.0037723,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.019487,           0.0088289,                   0,             0.99963,                   1,               0.995,               0.804,            0.017591,           0.0038004,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.022912,            0.011068,                   0,             0.99958,                   1,               0.995,             0.81993,            0.016699,           0.0036817,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.024172,            0.012444,                   0,             0.99957,                   1,               0.995,             0.83434,            0.015908,            0.003612,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.022461,           0.0090126,                   0,             0.99954,                   1,               0.995,             0.81401,            0.018602,           0.0037775,                   0,            0.003565,            0.003565,            0.003565
                  67,             0.02207,            0.010709,                   0,             0.99947,                   1,               0.995,             0.82876,            0.016194,           0.0036984,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.019492,            0.010597,                   0,             0.99952,                   1,               0.995,             0.83127,            0.015968,           0.0037111,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.019479,           0.0090744,                   0,             0.99953,                   1,               0.995,             0.84179,            0.015405,           0.0035961,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.020141,            0.010176,                   0,             0.99947,                   1,               0.995,              0.8435,            0.015401,           0.0036267,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.021834,           0.0099531,                   0,             0.99935,                   1,               0.995,             0.83498,            0.015251,           0.0035588,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.019231,            0.010102,                   0,             0.99944,                   1,               0.995,             0.82324,            0.015535,           0.0035599,                   0,            0.002971,            0.002971,            0.002971
                  73,             0.02015,            0.010595,                   0,             0.99962,                   1,               0.995,              0.8345,             0.01552,           0.0035193,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.018603,            0.010207,                   0,             0.99956,                   1,               0.995,             0.84472,            0.014905,           0.0035498,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.019828,            0.012396,                   0,              0.9995,                   1,               0.995,             0.84083,            0.015462,           0.0034172,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.019439,            0.010056,                   0,             0.99949,                   1,               0.995,             0.84657,            0.015612,             0.00342,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.019206,           0.0098439,                   0,              0.9993,                   1,               0.995,             0.84524,            0.015547,           0.0034275,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.021138,            0.017727,                   0,             0.99832,                   1,               0.995,             0.84262,            0.015411,           0.0035965,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.020457,            0.010315,                   0,             0.99858,                   1,               0.995,             0.85283,            0.014706,           0.0034499,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.017946,           0.0099077,                   0,             0.99924,                   1,               0.995,             0.84722,             0.01484,           0.0034104,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.020184,           0.0093625,                   0,             0.99937,                   1,               0.995,             0.85801,            0.014221,           0.0033679,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.018014,            0.011332,                   0,             0.99911,                   1,               0.995,              0.8409,              0.0151,           0.0034431,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.017959,            0.010791,                   0,             0.99923,                   1,               0.995,             0.84632,            0.014784,           0.0034579,                   0,            0.001882,            0.001882,            0.001882
                  84,             0.01714,            0.010699,                   0,             0.99939,                   1,               0.995,             0.85208,             0.01445,           0.0033886,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.018108,           0.0099238,                   0,             0.99949,                   1,               0.995,             0.86557,            0.013759,           0.0032792,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.019395,            0.010018,                   0,             0.99945,                   1,               0.995,             0.86836,            0.013837,           0.0032573,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.018232,            0.010158,                   0,             0.99949,                   1,               0.995,             0.87155,            0.013614,           0.0032843,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.015292,           0.0096428,                   0,             0.99948,                   1,               0.995,             0.87293,            0.013341,           0.0032461,                   0,            0.001387,            0.001387,            0.001387
                  89,             0.01626,           0.0093427,                   0,             0.99948,                   1,               0.995,             0.86347,            0.013439,            0.003268,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.017793,           0.0099429,                   0,             0.99949,                   1,               0.995,             0.86829,             0.01343,           0.0032732,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.017247,             0.01017,                   0,             0.99952,                   1,               0.995,             0.87456,            0.013304,           0.0031995,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.019913,            0.010253,                   0,             0.99953,                   1,               0.995,             0.87466,             0.01332,           0.0031975,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.019518,           0.0082917,                   0,             0.99951,                   1,               0.995,             0.87673,            0.012854,           0.0031546,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.015741,           0.0087786,                   0,             0.99948,                   1,               0.995,             0.87873,            0.012887,           0.0031739,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.015865,           0.0092231,                   0,             0.99951,                   1,               0.995,             0.88142,             0.01277,           0.0032115,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.017344,           0.0097661,                   0,             0.99952,                   1,               0.995,             0.88123,            0.012672,           0.0032187,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.015359,           0.0088352,                   0,             0.99952,                   1,               0.995,             0.88266,            0.012599,           0.0031554,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.017229,            0.010056,                   0,              0.9995,                   1,               0.995,             0.88868,            0.012541,           0.0031453,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.015675,           0.0084651,                   0,             0.99951,                   1,               0.995,             0.88144,            0.012557,           0.0031361,                   0,            0.000298,            0.000298,            0.000298
